Comments,Lane number,Date,business,senior,family,young,PRM,regular,Experience,Time Start Baggage drop off,Number of boxes,Time End Baggage drop off,Time Start WTMD,Time Start WTMD 2,Time Start WTMD 3,Time Start WTMD check,Time End WTMD check,Time Start ETD check,Time End ETD check,Time Start Baggage reclaim,Time End Baggage reclaim,Group size,Time Start Baggage Check,Time End Baggage Check,source_sheet,Time Start Baggage drop off_sec,Time End Baggage drop off_sec,Time Start WTMD_sec,Time Start WTMD 2_sec,Time Start WTMD 3_sec,Time Start WTMD check_sec,Time End WTMD check_sec,Time Start ETD check_sec,Time End ETD check_sec,Time Start Baggage reclaim_sec,Time End Baggage reclaim_sec,Time Start Baggage Check_sec,Time End Baggage Check_sec,checkpoint_time,drop_time,wait_I,collect_time,patdown_time,etd_time,baggage_check_time,has_second_wtmd,has_third_wtmd,has_patdown,has_etd,has_baggage_check,passenger_type
,3,2/23/2018 0:00,0,1,0,0,0,0,1,51640,2,51728,51840,,,,,,,51901,52037,2,,,2018_02_23,19000,19048,19120,,,,,,,19141,19237,,,237,48,72,96,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,51922,2,52014,52018,,,,,,,52037,52116,2,,,2018_02_23,19162,19214,19218,,,,,,,19237,19276,,,114,52,4,39,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,51930,1,51955,52021,,,,,,,52046,52120,2,,,2018_02_23,19170,19195,19221,,,,,,,19246,19280,,,110,25,26,34,,,,0,0,0,0,0,senior
WTMD: Nektasje met iets erin,3,2/23/2018 0:00,0,1,0,0,0,0,0,52249,2,52415,52420,,,52420,52445,,,52453,52718,1,,,2018_02_23,19369,19455,19460,,,19460,19485,,,19493,19638,,,269,86,5,145,25,,,0,0,1,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,0,52253,2,52408,52445,,,,,,,52451,52544,2,,,2018_02_23,19373,19448,19485,,,,,,,19491,19544,,,171,75,37,53,,,,0,0,0,0,0,senior
long wait at wtmd before check,3,2/23/2018 0:00,0,1,0,0,0,0,0,52253,1,52401,52453,,,,,52600,52610,52637,52722,2,,,2018_02_23,19373,19441,19493,,,,,19560,19570,19597,19642,,,269,68,52,45,,10,,0,0,0,1,0,senior
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52420,1,52505,52557,,,,,,,52602,52648,7,,,2018_02_23,19460,19505,19557,,,,,,,19562,19608,,,148,45,52,46,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52420,1,52501,52555,,,,,,,52559,52700,7,,,2018_02_23,19460,19501,19555,,,,,,,19559,19620,,,160,41,54,61,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52423,1,52522,52600,,,,,,,52604,52725,7,,,2018_02_23,19463,19522,19560,,,,,,,19564,19645,,,182,59,38,81,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52430,1,52525,52601,,,,,52814,52821,52825,52919,7,,,2018_02_23,19470,19525,19561,,,,,19694,19701,19705,19759,,,289,55,36,54,,7,,0,0,0,1,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52509,1,52600,52738,,,,,,,52751,52911,7,,,2018_02_23,19509,19560,19658,,,,,,,19671,19751,,,242,51,98,80,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52530,1,52623,52748,,,,,,,52756,52924,7,,,2018_02_23,19530,19583,19668,,,,,,,19676,19764,,,234,53,85,88,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52540,1,52638,52751,,,,,,,52759,52909,7,,,2018_02_23,19540,19598,19671,,,,,,,19679,19749,,,209,58,73,70,,,,0,0,0,0,0,business
helps the next passenger with baggage drop. Time is her own end time.,3,2/23/2018 0:00,0,1,0,0,0,0,0,52653,2,52801,52831,,,,,,,52843,52948,2,,,2018_02_23,19613,19681,19711,,,,,,,19723,19788,,,175,68,30,65,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,0,52730,2,52905,52912,,,,,,,52923,53043,2,,,2018_02_23,19650,19745,19752,,,,,,,19763,19843,,,193,95,7,80,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,52842,1,52930,52935,,,,,,,52950,53150,2,,,2018_02_23,19722,19770,19775,,,,,,,19790,19910,,,188,48,5,120,,,,0,0,0,0,0,senior
Baggage check,3,2/23/2018 0:00,0,0,0,0,0,0,1,52914,1,52941,52945,,,,,,,52959,53154,2,52959,53055,2018_02_23,19754,19781,19785,,,,,,,19799,19914,19799,19855,160,27,4,115,,,56,0,0,0,0,1,unknown
,3,2/23/2018 0:00,1,0,0,0,0,0,1,52929,2,53042,53050,,,,,53056,53100,53115,53221,1,,,2018_02_23,19769,19842,19850,,,,,19856,19860,19875,19941,,,172,73,8,66,,4,,0,0,0,1,0,business
,3,2/23/2018 0:00,0,0,0,0,0,1,1,52931,2,53024,53037,,,,,,,53054,53221,1,,,2018_02_23,19771,19824,19837,,,,,,,19854,19941,,,170,53,13,87,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,1,0,0,1,0,0,1,52945,2,53055,53104,,,,,,,53115,53231,2,,,2018_02_23,19785,19855,19864,,,,,,,19875,19951,,,166,70,9,76,,,,0,0,0,0,0,business
Bag + Cloathing check+ 3130 2nd wtmd check,3,2/23/2018 0:00,0,0,0,0,0,0,1,52955,1,53056,53114,53130,,,,53143,53152,53210,53446,1,,,2018_02_23,19795,19856,19874,19890,,,,19903,19912,19930,20086,,,291,61,18,156,,9,,1,0,0,1,0,unknown
rescan of item,3,2/23/2018 0:00,1,0,0,1,0,0,1,53040,2,53144,53151,,,53201,53205,,,53220,53419,2,53225,53318,2018_02_23,19840,19904,19911,,,19921,19925,,,19940,20059,19945,19998,219,64,7,119,4,,53,0,0,1,0,1,business
Mother + child. Dad also present,3,2/23/2018 0:00,0,0,1,0,0,0,0,53058,2,53229,53232,,,53240,53251,,,53251,53517,4,,,2018_02_23,19858,19949,19952,,,19960,19971,,,19971,20117,,,259,91,3,146,11,,,0,0,1,0,0,family
"Forgot something 053538, employee fetches lost suitcase at beginning of security lane",3,2/23/2018 0:00,0,0,1,0,0,0,0,53059,3,53245,53301,,,,,,,53349,53612,4,,,2018_02_23,19859,19965,19981,,,,,,,20029,20172,,,313,106,16,143,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53235,1,53328,53341,,,,,,,53418,53535,2,,,2018_02_23,19955,20008,20021,,,,,,,20058,20135,,,180,53,13,77,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53237,1,53410,53423,,,,,,,53556,53657,1,,,2018_02_23,19957,20050,20063,,,,,,,20156,20217,,,260,93,13,61,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53240,2,53345,53351,,,,,,,53429,53524,2,,,2018_02_23,19960,20025,20031,,,,,,,20069,20124,,,164,65,6,55,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53310,2,53420,53445,,,,,,,53558,53708,2,,,2018_02_23,19990,20060,20085,,,,,,,20158,20228,,,238,70,25,70,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53321,2,53500,53611,,,,,,,53615,53703,1,,,2018_02_23,20001,20100,20171,,,,,,,20175,20223,,,222,99,71,48,,,,0,0,0,0,0,business
got passed by two people while unpacking,3,2/23/2018 0:00,1,0,0,1,0,0,1,53352,1,53455,53623,,,,,53636,53640,53733,53809,2,,,2018_02_23,20032,20095,20183,,,,,20196,20200,20253,20289,,,257,63,88,36,,4,,0,0,0,1,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53412,1,53505,53617,,,,,,,53647,53717,1,,,2018_02_23,20052,20105,20177,,,,,,,20207,20237,,,185,53,72,30,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53425,1,53441,53615,,,,,,,53716,53728,1,,,2018_02_23,20065,20081,20175,,,,,,,20236,20248,,,183,16,94,12,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53441,1,53501,53627,,,,,,,53723,53758,2,,,2018_02_23,20081,20101,20187,,,,,,,20243,20278,,,197,20,86,35,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53447,1,53610,53633,,,,,,,53724,53810,1,,,2018_02_23,20087,20170,20193,,,,,,,20244,20290,,,203,83,23,46,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53556,1,53621,53635,,,,,,,53746,53809,2,,,2018_02_23,20156,20181,20195,,,,,,,20266,20289,,,133,25,14,23,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53603,1,53645,53645,,,,,,,53755,53829,1,,,2018_02_23,20163,20205,20205,,,,,,,20275,20309,,,146,42,0,34,,,,0,0,0,0,0,business
mom with kid,3,2/23/2018 0:00,0,0,1,0,0,0,0,53626,2,53700,53804,,,,,,,53810,53944,3,53905,53943,2018_02_23,20186,20220,20284,,,,,,,20290,20384,20345,20383,198,34,64,94,,,38,0,0,0,0,1,family
,3,2/23/2018 0:00,0,0,1,0,0,0,1,53700,2,53740,53808,,,,,,,53901,54033,3,,,2018_02_23,20220,20260,20288,,,,,,,20341,20433,,,213,40,28,92,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,1,0,0,1,0,0,1,53707,3,53802,53813,,,,,,,53929,54024,1,,,2018_02_23,20227,20282,20293,,,,,,,20369,20424,,,197,55,11,55,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,0,0,1,0,0,0,0,53739,2,53822,53857,,,,,,,54007,54240,3,54028,54102,2018_02_23,20259,20302,20337,,,,,,,20407,20560,20428,20462,301,43,35,153,,,34,0,0,0,0,1,family
Mother and child,3,2/23/2018 0:00,0,0,1,0,0,0,0,53750,3,53915,53920,,,,,,,54111,54206,3,,,2018_02_23,20270,20355,20360,,,,,,,20471,20526,,,256,85,5,55,,,,0,0,0,0,0,family
Dad with child,3,2/23/2018 0:00,0,0,1,0,0,0,1,53906,3,54013,54023,,,,,,,54107,54147,5,,,2018_02_23,20346,20413,20423,,,,,,,20467,20507,,,161,67,10,40,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,0,1,0,0,0,0,53926,2,54104,54113,,,,,,,54125,54201,5,,,2018_02_23,20366,20464,20473,,,,,,,20485,20521,,,155,98,9,36,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,1,1,0,0,0,0,54016,2,54130,54136,,,,,,,54209,54340,5,,,2018_02_23,20416,20490,20496,,,,,,,20529,20620,,,204,74,6,91,,,,0,0,0,0,0,senior
 054151 second wtmd,3,2/23/2018 0:00,0,1,1,0,0,0,0,54017,1,54055,54138,54151,,54152,54211,,,54216,54330,5,,,2018_02_23,20417,20455,20498,20511,,20512,20531,,,20536,20610,,,193,38,43,74,19,,,1,0,1,0,0,senior
Mother with teenager. Bottle check,3,2/23/2018 0:00,0,0,1,0,0,0,0,54055,1,54155,54248,,,,,,,54259,54358,2,54259,54334,2018_02_23,20455,20515,20568,,,,,,,20579,20638,20579,20614,183,60,53,59,,,35,0,0,0,0,1,family
Teenager,3,2/23/2018 0:00,0,0,1,0,0,0,0,54100,1,54206,54249,,,,,,,54259,54338,2,,,2018_02_23,20460,20526,20569,,,,,,,20579,20618,,,158,66,43,39,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,1,0,0,0,0,0,54135,1,54238,54246,,,,,,,54315,54434,2,,,2018_02_23,20495,20558,20566,,,,,,,20595,20674,,,179,63,8,79,,,,0,0,0,0,0,senior
"2x wtmd, shoes out 054320",3,2/23/2018 0:00,0,1,0,0,0,0,0,54142,1,54221,54250,54320,,,,,,54337,54403,2,,,2018_02_23,20502,20541,20570,20600,,,,,,20617,20643,,,141,39,29,26,,,,1,0,0,0,0,senior
,3,2/23/2018 0:00,0,0,1,0,0,0,1,54154,1,54240,54329,,,,,54343,54347,54411,54455,3,,,2018_02_23,20514,20560,20609,,,,,20623,20627,20651,20695,,,181,46,49,44,,4,,0,0,0,1,0,family
,3,2/23/2018 0:00,0,0,1,0,0,0,1,54224,1,54305,54343,,,,,,,54409,54446,3,,,2018_02_23,20544,20585,20623,,,,,,,20649,20686,,,142,41,38,37,,,,0,0,0,0,0,family
"around 18, with parents",3,2/23/2018 0:00,0,0,1,1,0,0,1,54232,1,54325,54349,,,,,54420,54423,54433,54513,3,,,2018_02_23,20552,20605,20629,,,,,20660,20663,20673,20713,,,161,53,24,40,,3,,0,0,0,1,0,family
,3,2/23/2018 0:00,0,0,0,1,0,0,1,54300,2,54349,54418,,,,,,,54435,54513,2,,,2018_02_23,20580,20629,20658,,,,,,,20675,20713,,,133,49,29,38,,,,0,0,0,0,0,young
,3,2/23/2018 0:00,0,0,0,1,0,0,1,54307,2,54353,54422,,,,,,,54447,54516,2,,,2018_02_23,20587,20633,20662,,,,,,,20687,20716,,,129,46,29,29,,,,0,0,0,0,0,young
Takes x-ray boxes with them; reclaim time iffy,3,2/23/2018 0:00,0,0,0,0,0,1,1,54354,2,54429,54432,,,,,,,54504,54540,2,,,2018_02_23,20634,20669,20672,,,,,,,20704,20740,,,106,35,3,36,,,,0,0,0,0,0,regular
Takes x-ray boxes with them; reclaim time iffy,3,2/23/2018 0:00,0,0,0,0,0,1,1,54401,3,54442,54504,,,,,54516,54522,54544,54558,2,,,2018_02_23,20641,20682,20704,,,,,20716,20722,20744,20758,,,117,41,22,14,,6,,0,0,0,1,0,regular
takes b ox away,3,2/23/2018 0:00,0,0,0,1,0,0,1,54434,2,54524,54544,,,,,,,54546,54627,2,,,2018_02_23,20674,20724,20744,,,,,,,20746,20787,,,113,50,20,41,,,,0,0,0,0,0,young
,3,2/23/2018 0:00,0,0,0,0,0,1,0,54442,1,54522,54548,,,,,,,54603,54745,2,,,2018_02_23,20682,20722,20748,,,,,,,20763,20865,,,183,40,26,102,,,,0,0,0,0,0,regular
Takes x-ray boxes with them; reclaim time iffy,3,2/23/2018 0:00,0,0,0,1,0,0,0,54451,2,54600,54609,,,,,,,54659,54742,2,,,2018_02_23,20691,20760,20769,,,,,,,20819,20862,,,171,69,9,43,,,,0,0,0,0,0,young
Takes x-ray boxes with them; reclaim time iffy,3,2/23/2018 0:00,0,0,0,1,0,0,0,54451,1,54621,54623,,,,,,,54659,54704,2,,,2018_02_23,20691,20781,20783,,,,,,,20819,20824,,,133,90,2,5,,,,0,0,0,0,0,young
,3,2/23/2018 0:00,0,1,0,0,0,0,0,54452,1,54617,54628,,,,,,,54700,54758,2,,,2018_02_23,20692,20777,20788,,,,,,,20820,20878,,,186,85,11,58,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,0,54546,2,54650,54652,,,,,,,54706,54814,2,,,2018_02_23,20746,20810,20812,,,,,,,20826,20894,,,148,64,2,68,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,0,0,1,0,0,1,54557,1,54635,54641,,,,,,,54722,54801,2,,,2018_02_23,20757,20795,20801,,,,,,,20842,20881,,,124,38,6,39,,,,0,0,0,0,0,young
,3,2/23/2018 0:00,0,0,0,1,0,0,1,54616,1,54654,54658,,,,,,,54727,54806,2,,,2018_02_23,20776,20814,20818,,,,,,,20847,20886,,,110,38,4,39,,,,0,0,0,0,0,young
,3,2/23/2018 0:00,0,0,0,0,0,1,0,54628,2,54743,54749,,,,,,,54821,54858,1,,,2018_02_23,20788,20863,20869,,,,,,,20901,20938,,,150,75,6,37,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,0,1,1,0,0,1,54644,2,54741,54753,,,,,,,54825,54908,3,,,2018_02_23,20804,20861,20873,,,,,,,20905,20948,,,144,57,12,43,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,0,1,1,0,0,1,54648,1,54756,54804,,,,,,,54829,54919,3,,,2018_02_23,20808,20876,20884,,,,,,,20909,20959,,,151,68,8,50,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,0,1,0,0,0,0,54749,1,54809,54811,,,,,,,54835,54921,3,,,2018_02_23,20869,20889,20891,,,,,,,20915,20961,,,92,20,2,46,,,,0,0,0,0,0,family
Bottle (deodorant),3,2/23/2018 0:00,0,0,0,1,0,0,1,54753,2,54832,54837,,,,,,,54850,55030,2,54850,54941,2018_02_23,20873,20912,20917,,,,,,,20930,21030,20930,20981,157,39,5,100,,,51,0,0,0,0,1,young
,3,2/23/2018 0:00,0,0,0,0,0,1,1,54800,1,54835,54847,,,,,,,54943,55035,2,,,2018_02_23,20880,20915,20927,,,,,,,20983,21035,,,155,35,12,52,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,1,0,0,0,0,1,54808,3,54920,54930,,,,,,,54956,55030,2,,,2018_02_23,20888,20960,20970,,,,,,,20996,21030,,,142,72,10,34,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,54829,2,54908,54925,,,,,,,54941,55008,2,,,2018_02_23,20909,20948,20965,,,,,,,20981,21008,,,99,39,17,27,,,,0,0,0,0,0,senior
Forgotten belt + shoes,3,2/23/2018 0:00,0,1,0,0,0,0,0,54841,1,54930,54944,,,54950,55049,,,55057,55154,2,,,2018_02_23,20921,20970,20984,,,20990,21049,,,21057,21114,,,193,49,14,57,59,,,0,0,1,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,0,54858,1,54933,55006,,,,,,,55031,55108,2,,,2018_02_23,20938,20973,21006,,,,,,,21031,21068,,,130,35,33,37,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,54929,2,55010,55052,,,,,,,55109,55149,2,,,2018_02_23,20969,21010,21052,,,,,,,21069,21109,,,140,41,42,40,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,54938,1,55031,55058,,,,,,,55120,55155,2,,,2018_02_23,20978,21031,21058,,,,,,,21080,21115,,,137,53,27,35,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,0,0,0,0,1,1,55015,1,55110,55117,,,,,,,55131,55150,1,,,2018_02_23,21015,21070,21077,,,,,,,21091,21110,,,95,55,7,19,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,1,0,0,0,0,1,55050,1,55135,55227,,,,,,,55248,55313,2,,,2018_02_23,21050,21095,21147,,,,,,,21168,21193,,,143,45,52,25,,,,0,0,0,0,0,senior
"wallet forgot, redo 2nd wtmd 5251",3,2/23/2018 0:00,0,1,0,0,0,0,0,55054,2,55211,55232,55251,,,,55257,55302,55311,55538,2,,,2018_02_23,21054,21131,21152,21171,,,,21177,21182,21191,21338,,,284,77,21,147,,5,,1,0,0,1,0,senior
,3,2/23/2018 0:00,0,0,0,0,0,1,1,55208,2,55236,55259,,,,,,,55315,55425,2,,,2018_02_23,21128,21156,21179,,,,,,,21195,21265,,,137,28,23,70,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,0,1,0,0,0,0,55323,3,55513,55517,,,,,,,55530,55628,2,,,2018_02_23,21203,21313,21317,,,,,,,21330,21388,,,185,110,4,58,,,,0,0,0,0,0,family
,3,2/23/2018 0:00,0,0,1,0,0,0,0,55327,2,55550,55554,,,,,,,55616,55713,2,,,2018_02_23,21207,21350,21354,,,,,,,21376,21433,,,226,143,4,57,,,,0,0,0,0,0,family
box away carried,3,2/23/2018 0:00,0,0,0,0,0,1,1,55420,1,55451,55604,,,,,,,55623,55631,1,,,2018_02_23,21260,21291,21364,,,,,,,21383,21391,,,131,31,73,8,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,0,0,0,0,1,1,55503,1,55548,55610,,,,,55629,55640,55658,55718,1,,,2018_02_23,21303,21348,21370,,,,,21389,21400,21418,21438,,,135,45,22,20,,11,,0,0,0,1,0,regular
Dad + Teenagers,3,2/23/2018 0:00,0,0,0,1,1,0,1,55600,1,55605,55616,,,,,,,55635,55700,6,,,2018_02_23,21360,21365,21376,,,,,,,21395,21420,,,60,5,11,25,,,,0,0,0,0,0,young
Fam + Teenagers,3,2/23/2018 0:00,0,0,0,1,1,0,1,55600,1,55606,55624,,,,,,,55724,55746,6,,,2018_02_23,21360,21366,21384,,,,,,,21444,21466,,,106,6,18,22,,,,0,0,0,0,0,young
Fam + Teenagers,3,2/23/2018 0:00,0,0,0,1,1,0,1,55601,1,55614,55628,,,,,,,55800,55811,6,,,2018_02_23,21361,21374,21388,,,,,,,21480,21491,,,130,13,14,11,,,,0,0,0,0,0,young
teenage kids in fam. Forgot phone. 2nd wtmd: 055724,3,2/23/2018 0:00,0,0,1,1,0,0,0,55611,2,55645,55653,55724,,,,,,55742,55846,6,,,2018_02_23,21371,21405,21413,21444,,,,,,21462,21526,,,155,34,8,64,,,,1,0,0,0,0,family
young kid in fam,3,2/23/2018 0:00,0,0,1,0,0,0,0,55632,2,55808,55815,,,,,,,55829,55941,6,,,2018_02_23,21392,21488,21495,,,,,,,21509,21581,,,189,96,7,72,,,,0,0,0,0,0,family
dad in fam,3,2/23/2018 0:00,0,0,0,0,0,0,0,55632,3,55808,55820,,,,,,,55829,60042,6,,,2018_02_23,21392,21488,21500,,,,,,,21509,21642,,,250,96,12,133,,,,0,0,0,0,0,unknown
Grandparents + Teenagers,3,2/23/2018 0:00,0,0,0,1,0,0,1,55734,1,55820,55827,,,,,,,55905,55942,4,,,2018_02_23,21454,21500,21507,,,,,,,21545,21582,,,128,46,7,37,,,,0,0,0,0,0,young
Grandparents + Teenagers,3,2/23/2018 0:00,0,0,0,1,0,0,0,55755,2,55838,55843,,,,,,,55921,55942,4,,,2018_02_23,21475,21518,21523,,,,,,,21561,21582,,,107,43,5,21,,,,0,0,0,0,0,young
grandparent in fam,3,2/23/2018 0:00,0,1,1,0,0,0,1,55818,2,55846,55851,,,,,,,55925,55942,4,,,2018_02_23,21498,21526,21531,,,,,,,21565,21582,,,84,28,5,17,,,,0,0,0,0,0,senior
grandparent in fam,3,2/23/2018 0:00,0,1,1,0,0,0,1,55845,1,55850,55853,,,,,,,55925,55942,4,,,2018_02_23,21525,21530,21533,,,,,,,21565,21582,,,57,5,3,17,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,55846,1,55857,55910,,,,,,,55955,60002,2,,,2018_02_23,21526,21537,21550,,,,,,,21595,21602,,,76,11,13,7,,,,0,0,0,0,0,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,55849,2,55914,55951,,,,,,,60014,60035,2,,,2018_02_23,21529,21554,21591,,,,,,,21614,21635,,,106,25,37,21,,,,0,0,0,0,0,senior
father. Carrries box away,3,2/23/2018 0:00,0,0,1,0,0,0,1,55900,1,55920,55954,,,,,,,60019,60048,3,,,2018_02_23,21540,21560,21594,,,,,,,21619,21648,,,108,20,34,29,,,,0,0,0,0,0,family
